273,3359,1469,489,360,2624,1467,1022,1956,1730,2475
607,1392,450,1619,188,1756,2020,1956,1042,1948,948
1938,1476,1467,1667,882,3039,1467,1467,3333,1496,1467
170,3438,1536,538,1467,3137,1923,1880,489,1489,1310
1479,3784,1278,1886,1085,2150,1148,1699,1191,1560,489
1280,2226,2010,1956,1624,2684,2738,1956,3686,2698,1956
530,978,1115,2635,978,489,2917,1725,687,1467,3356
714,2886,978,1233,1956,938,2707,2051,2985,2555,489
1657,2484,2233,1956,1060,1455,1946,2086,1007,3347,1138
1107,489,1140,856,1550,1519,1528,555,2361,2542,1467
617,489,2311,0,1400,432,1956,2445,2229,2504,542
829,711,1956,2506,2823,2445,2883,489,1467,593,999
937,1080,1670,1956,2934,1826,1467,1467,0,1076,2608
1318,560,1668,489,2399,1684,2561,1245,2258,2178,307
1997,489,1598,1112,2853,1340,2212,1467,1938,489,978
358,2445,1904,3140,2934,1006,1152,978,19,2094,1214
1531,1789,483,174,1277,1467,917,2267,558,2106,1855
967,1277,1120,978,1754,1028,978,1663,4123,978,399
95,2624,1081,912,1493,900,2934,978,425,1270,361
54,320,227,2737,1956,1566,846,1200,1235,1956,1467
1835,493,784,1956,1493,1660,995,632,2935,1893,2118
452,1469,1448,2439,1956,489,2934,978,2445,1535,994
966,978,1956,1825,2545,1877,3418,489,1956,2452,1552
1794,691,2187,1659,2055,1684,1064,1010,859,1949,3412
1976,2373,1111,1956,978,1459,1094,2626,1490,2680,453
980,978,2280,1907,1955,2550,1637,1956,1141,0,489
158,893,2445,1821,4593,2354,978,2556,978,489,1956
993,2055,978,1467,2011,1343,1727,858,1927,978,2187
100,317,1467,747,1467,399,1409,1676,1667,1230,2050
1179,1467,1046,1689,3423,2960,489,1467,596,2976,1525
1810,3258,978,887,1875,2748,2104,1443,981,2148,1897
354,1467,1634,657,952,3574,3308,1404,3147,340,479
1472,0,1686,2677,1443,1872,2087,1811,0,1513,520
1144,1730,978,1956,2332,489,1731,1467,978,2354,700
1807,1897,286,489,547,489,1179,1214,1467,1410,1956
1646,2585,331,1956,1542,0,1467,2190,2445,1932,157
989,1212,1320,2374,640,804,0,1956,1163,1467,1325
1872,3912,3474,1467,1257,1467,202,2895,1353,709,1953
1588,1467,978,2302,1952,3423,2968,2845,2807,2170,2871
305,3667,2363,1837,2318,4599,978,1331,834,112,1173
508,2445,2783,1783,489,1021,1956,663,1721,1958,1083
1980,897,1073,1311,3292,978,1713,978,1467,2173,1023
1010,2003,794,1943,3047,846,2445,580,1331,1331,1956
1084,1467,4114,2283,1553,706,2205,489,1467,1771,1466
550,489,1837,468,978,489,625,829,1877,0,810
1714,978,1956,2437,3062,2934,0,1092,543,1467,489
1934,1467,0,1482,1329,1956,917,2399,995,1649,1133
1177,2411,1635,746,978,0,1436,2445,978,1624,1467
1047,851,489,2642,978,2227,2040,978,1764,489,1467
124,1347,1351,2056,1053,2240,2528,1891,2413,1547,1890
565,3360,3286,601,2059,2934,1614,2873,1654,748,1553
542,34,1467,1026,2445,2445,879,1876,489,1316,1956
1577,3701,755,588,3031,358,2327,1964,1389,1467,2161
160,1612,2063,2115,1899,1373,908,0,489,1373,1366
1258,1717,1439,1350,489,1427,978,4890,2604,3461,1467
976,1671,1724,3115,1225,489,1246,2894,1514,1571,852
1797,1181,2259,489,1484,1205,601,978,3601,935,1754
1912,1799,2445,620,3553,2019,1531,1467,1653,1467,3232
396,1467,1761,1709,1558,13,1850,1502,1607,2445,1467
1165,1471,1626,933,716,0,1766,489,1956,2536,3385
423,964,2445,1448,857,3009,1782,1764,0,1467,2934
177,1601,1004,2365,1956,2900,2445,925,1549,336,1467
56,1544,2625,3076,143,2445,2289,575,2934,1299,1530
1612,894,1730,2665,1149,2857,503,1929,1517,2458,1979
1187,489,1467,1723,1889,489,2012,0,1956,3483,3117
1767,524,2443,2871,978,1883,1036,0,978,1424,2719
1194,1208,852,1467,978,930,502,1532,1662,489,978
934,2370,802,2673,145,978,1467,1497,1661,2093,2244
1838,489,1557,1506,681,698,1032,1954,174,2356,1908
849,2068,699,1444,2220,1771,1467,1341,752,1467,1118
913,1066,2934,1785,1153,2548,2340,1058,2444,1459,978
1235,978,1531,747,1134,2023,2745,489,874,3338,967
1732,2059,489,2439,2644,0,3423,2304,1087,2067,1115
428,1409,978,489,885,2356,1383,375,978,1741,1828
18,978,3292,895,489,489,599,1495,1209,1739,998
349,758,3151,1855,2957,1984,1002,3404,1975,2544,1467
1447,2260,2275,2961,1924,715,316,2426,2430,1736,489
930,2315,1021,515,1467,2332,2020,2143,1982,1565,639
1077,2103,1596,978,487,978,489,3207,1906,208,1864
47,1923,2504,2266,2445,746,978,456,3079,2929,240
78,2934,2262,1129,1467,2070,0,1747,1188,1736,3677
242,1017,2801,489,1514,0,489,1450,1184,2445,1910
835,2445,3576,3197,2517,1226,901,1692,1304,433,489
1098,2466,1052,489,2934,2162,4068,1467,1602,489,2351
587,489,272,1151,1889,1454,534,1956,1002,1974,582
437,2985,978,1780,1015,1956,1239,489,1779,978,2063
1322,3475,1939,742,3259,1838,1814,2934,2776,633,2934
834,1004,978,2184,2172,1467,1552,1467,1636,489,865
1491,1467,433,1956,1467,2445,978,1307,2706,1467,976
1087,3095,627,1956,93,978,1098,1033,3423,2467,2433
638,831,1119,978,1676,980,1467,2445,1294,2317,2115
